Country,ccode,year,Approval_Smoothed,Approval_Not_Smoothed,NET_Smoothed,NET_Not_Smoothed,Relative_Smoothed,Relative_Not_Smoothed
Austria,Austria,1993,48.33453,45.931831,16.83967,15.13703,61.228088,59.454182
Austria,Austria,1994,52.501968,50.312038,25.296671,27.21209,66.505402,66.933861
Austria,Austria,1995,38.86068,30.17054,1.548381,-20.66473,50.91679,36.178669
Austria,Austria,1996,35.603531,33.566639,-6.5878649,-15.64738,46.137138,40.162922
Austria,Austria,1997,34.218201,33.566639,-10.4256,-15.64738,43.900101,40.162922
Austria,Austria,1998,36.42284,37.1045,-9.0834541,-10.25673,45.341179,44.39748
Austria,Austria,1999,38.981781,39.234901,-5.156065,-4.7086921,47.8918,47.498409
Austria,Austria,2000,40.265041,39.48114,.46739969,1.955333,51.00264,50.873791
Austria,Austria,2001,38.95771,37.062351,-2.986593,-8.5914459,48.989899,44.96743
Austria,Austria,2002,39.921558,39.041962,.74423867,.56759858,51.15366,50.191311
Austria,Austria,2003,33.26598,29.792801,-4.138514,-11.0429,47.825821,42.799881
Austria,Austria,2004,29.72155,28.873871,-16.43161,-28.39426,40.1917,32.247581
Austria,Austria,2005,32.550171,34.3302,-17.292271,-20.165331,40.161449,38.111481
Austria,Austria,2006,34.28138,35.259762,-15.64618,-16.08292,41.409439,40.55006
Austria,Austria,2007,33.245548,32.658089,-13.84958,-15.30152,42.18774,40.381741
Austria,Austria,2008,24.578609,22.96246,-31.02116,-43.190399,32.110649,24.373791
Austria,Austria,2009,33.347309,38.853069,-13.9599,-1.456136,43.208469,50.232819
Austria,Austria,2010,31.93302,31.785589,-16.14389,-19.30093,41.324139,38.12154
Austria,Austria,2011,29.86956,29.79475,-18.502741,-21.81477,39.058041,35.669559
Austria,Austria,2012,29.587851,30.79446,-18.421089,-19.59129,38.798229,37.121792
Austria,Austria,2013,33.834339,36.54266,-12.93284,-9.8148499,42.695271,44.21698
Austria,Austria,2014,31.940149,31.770809,-16.488939,-20.083599,40.443211,37.46505
Austria,Austria,2015,33.578411,34.870789,-14.15399,-13.56835,42.140839,41.894451
Austria,Austria,2016,30.303619,29.662519,-19.043091,-23.93202,38.846069,34.927898
Austria,Austria,2017,34.925758,37.489521,-11.26589,-3.0546639,43.912022,48.210579
Austria,Austria,2018,43.296452,46.027409,3.3711319,8.0224133,53.672569,56.217579
Austria,Austria,2019,51.66103,51.889629,22.69215,-21.592159,65.564278,36.889229
Bolivia,Bolivia,1998,31.247169,33.93367,-16.072769,-14.46021,38.936951,39.673149
Bolivia,Bolivia,1999,31.58811,34.328442,-26.347691,-23.887171,33.770329,34.815281
Bolivia,Bolivia,2000,29.56349,31.26895,-33.401211,-33.686481,30.03903,29.869949
Bolivia,Bolivia,2001,37.944191,41.11507,-16.082979,-15.74984,40.19323,40.407822
Bolivia,Bolivia,2002,38.987492,42.471642,1.21538,9.1562109,51.307579,55.461971
Bolivia,Bolivia,2003,23.913759,21.808029,-14.05061,-14.8994,43.060181,42.454708
